Unternehmensname Latin alphabet,Bilanzsumme,Jahr,Zahlungsmittel,ROA,Eigenkapital,Kurzfristige_Verbindlichkeiten,Langfristige_Verbindlichkeiten,EK_Quote,Umsatz,Zinsschock,ABS,Zinswende_Dummy,Cash_Ratio,Groesse_Log_Bilanzsumme,Leverage,Leverage_exante,Liquidity_exante,STDebtShare,STDebtShare_exante
CLARO FAIR TRADE AG,8.303,2020,2.359,3.493,5.355,1.146,1.802,64.495,13.383,3.62,4.9,0,0.284114175599181,2.116616895279894,0.3550523907021558,0.3955115008828679,0.2270527733507835,0.3887381275440976,0.4180856779236646
CLARO FAIR TRADE AG,9.419,2021,3.268,6.306,5.784,1.917,1.718,61.408,13.321,0.25,0.25,0,0.3469582758254591,2.24272892584068,0.3859220724068372,0.3955115008828679,0.2270527733507835,0.5273727647867951,0.4180856779236646
CLARO FAIR TRADE AG,9.2992,2022,2.3145,5.698,6.2891,1.3431,1.667,67.631,12.7293,22.6,64.6,1,0.2488923778389538,2.229928374953772,0.3236945113558155,0.3955115008828679,0.2270527733507835,0.446197800737517,0.4180856779236646
CLARO FAIR TRADE AG,9.2614,2023,2.2995,3.986,6.5748,1.3449,1.3417,70.991,11.7871,-20.407,44.581,1,0.2482885956766795,2.2258552251353163,0.2900857321787202,0.3955115008828679,0.2270527733507835,0.5005955482766322,0.4180856779236646
CLARO FAIR TRADE AG,9.154,2024,1.5744,1.256,6.6649,1.2604,1.2287,72.809,11.1862,-33.391,50.823,1,0.1719903867161896,2.2141909422314505,0.2719139174131527,0.3955115008828679,0.2270527733507835,0.5063677634486361,0.4180856779236646
COCA-COLA HBC AG,7030.7790775854,2016,613.877220867333,6.973,3073.7770614294,2107.76650102756,1849.23551512844,43.719,6660.33223407876,-0.44,2.84,0,0.0873128303553748,8.858052800511564,0.5628113147191882,0.6018803278337378,0.1500796524791765,0.5326675327487282,0.4928354011594363
COCA-COLA HBC AG,7755.19164404729,2017,846.261222054873,8.52,3523.30069533336,2218.17523359345,2013.71571512048,45.432,7628.63260572478,-0.775,0.775,0,0.1091218967753613,8.95611778762603,0.5456848963832163,0.6018803278337378,0.1500796524791765,0.5241569928137095,0.4928354011594363
COCA-COLA HBC AG,7728.10025161561,2018,1117.4474650039,8.913,3513.68507712456,2275.93527682058,1938.47989767047,45.466,7505.76079031123,-0.04,0.72,0,0.1445953634944487,8.952618348325759,0.5453365040923219,0.6018803278337378,0.1500796524791765,0.5400358490061271,0.4928354011594363
COCA-COLA HBC AG,8934.16876899431,2019,1694.49008098566,8.05,2936.94211225206,2901.04881186531,3096.17784487694,32.873,7642.0099550711,1.6,2.0,0,0.1896639883126366,9.09763839237549,0.6712685658631606,0.6018803278337378,0.1500796524791765,0.4837317276651316,0.4928354011594363
COCA-COLA HBC AG,8188.94368297463,2020,1429.93742672956,7.842,2847.43967468766,2190.97036754344,3150.53364074354,34.772,6630.43732094701,3.62,4.9,0,0.1746180560140494,9.010540192091163,0.652282420673173,0.6018803278337378,0.1500796524791765,0.410178549738856,0.4928354011594363
COCA-COLA HBC AG,8801.43843644113,2021,1717.73959689396,8.631,3222.22187968836,2601.26371885656,2977.9528378962,36.61,7410.14895972476,0.25,0.25,0,0.1951657799231882,9.082670445794877,0.6338982652713664,0.6018803278337378,0.1500796524791765,0.4662417549840651,0.4928354011594363
COCA-COLA HBC AG,9705.28213869639,2022,1756.47714021254,6.327,3333.92891512226,2960.81169337728,3410.54153019685,34.352,9058.01386249428,22.6,64.6,1,0.1809815639680589,9.18042556665879,0.6564830504175253,0.6018803278337378,0.1500796524791765,0.4647068824284015,0.4928354011594363
COCA-COLA HBC AG,9170.79440792393,2023,1790.14099919848,9.214,2958.07224378833,3570.34966306306,2642.37250107254,32.255,9453.35542433877,-20.407,44.581,1,0.1952002105348395,9.12377919267861,0.6774464553220779,0.6018803278337378,0.1500796524791765,0.5746836199554751,0.4928354011594363
COCA-COLA HBC AG,10003.3705652661,2024,2300.25786447797,10.588,3101.37632719843,3669.25776912686,3232.73646894081,31.003,10097.9235765131,-33.391,50.823,1,0.229948280878944,9.210677371712002,0.6899668659714466,0.6018803278337378,0.1500796524791765,0.5316228386412173,0.4928354011594363
COMET HOLDING AG,344.908,2016,74.832,10.464,176.345,92.301,76.262,51.128,332.437,-0.44,2.84,0,0.2169622044139306,5.843277714802816,0.4887187307919792,0.4814163907076649,0.174740936993559,0.5475756838689393,0.6142838364722225
COMET HOLDING AG,389.789,2017,60.42,12.789,201.548,112.879,75.362,51.707,443.37,-0.775,0.775,0,0.1550069396519655,5.965605567075485,0.4829305085571937,0.4814163907076649,0.174740936993559,0.5996515105635861,0.6142838364722225
COMET HOLDING AG,380.266,2018,43.007,4.011,198.292,98.115,83.859,52.146,436.356,-0.04,0.72,0,0.1130971477860234,5.940871007834705,0.4785439665918067,0.4814163907076649,0.174740936993559,0.5391704309406838,0.6142838364722225
COMET HOLDING AG,391.71,2019,60.255,3.922,195.948,111.854,83.908,50.024,371.606,1.6,2.0,0,0.1538255341962166,5.970521770088057,0.4997625794592938,0.4814163907076649,0.174740936993559,0.5713774889917349,0.6142838364722225
COMET HOLDING AG,429.271,2020,74.681,7.801,214.956,180.649,33.666,50.075,395.816,3.62,4.9,0,0.1739716868831111,6.0620884211202295,0.4992533853905807,0.4814163907076649,0.174740936993559,0.8429134684926394,0.6142838364722225
COMET HOLDING AG,490.415,2021,115.533,16.763,274.981,126.032,89.402,56.071,513.721,0.25,0.25,0,0.2355821090301071,6.195251971429914,0.4392891734551349,0.4814163907076649,0.174740936993559,0.5850144359757513,0.6142838364722225
COMET HOLDING AG,556.801,2022,125.945,17.128,331.532,128.002,97.267,59.542,586.395,22.6,64.6,1,0.2261939184735659,6.322207904995609,0.4045772187909145,0.4814163907076649,0.174740936993559,0.5682184410637948,0.6142838364722225
